1;"Woody";"Harrelson";"Américaine";1961/07/20
2;"Jesse";"Eisenberg";"Américaine";1983/10/05
3;"Abigail";"Breslin";"Américaine";1996/04/14
4;"Bill";"Murray";"Américaine";1950/08/21
5;"Claude";"Perron";"Française";1966/01/23
6;"Jean-Pierre";"Martins";"Française";1971/10/29
7;"Eriq";"Ebouaney";"Française";1967/10/03
8;"Devon";"Bostick";"Canadienne";1991/09/13
9;"Simon";"Baker";"Australianne";1969/07/30
10;"Asia";"Argento";"Italienne";1975/06/20
11;"Milla";"Jovovich";"Ukrainienne";1975/12/17
12;"Eric";"Mabius";"Américaine";1971/04/22
13;"Michelle";"Rodriguez";"Américaine";1978/07/12
14;"Sienna";"Guillory";"Britannique";1975/03/16
15;"Oded";"Fehr";"Israélienne";1970/11/23
16;"Ali";"Larter";"Américaine";1976/02/28
17;"Shawn";"Roberts";"Canadienne";1984/04/02
18;"Kevin";"Durand";"Américaine";1974/01/14
19;"Simon";"Pegg";"Britannique";1970/02/14
20;"Nick";"Frost";"Britannique";1972/03/28
21;"Martin";"Freeman";"Britannique";1971/09/08
22;"Ruben";"Fleischer";"Américaine";1974/10/31
23;"Yannick";"Dahan";"Française";1972/01/01
24;"Benjamin";"Rocher";"Française";NULL
25;"George A.";"Romero";"Américaine";1940/02/04
26;"Paul W.S";"Anderson";"Britannique";1965/03/04
27;"Alexander";"Witt";"Chilienne";NULL
28;"Russell";"Mulcahy";"Australienne";1953/06/23
29;"Edgar";"Wright";"Britannique";1974/04/18
30;"Bill";"Nighy";"Britannique";1949/12/12
31;"Dylan";"Moran";"Irlandais";1971/11/03
